Waktu | RPM| Speed | Engine Load | Coolant Temperature
12:52:26 | 753 | 0 | 28.24 | 82
12:52:27 | 761 | 0 | 28.24 | 82
12:52:27 | 761 | 0 | 28.24 | 82
12:52:28 | 753 | 0 | 28.63 | 82
12:52:29 | 753 | 0 | 27.45 | 82
12:52:30 | 753 | 0 | 27.45 | 82
12:52:31 | 746 | 0 | 29.41 | 82
12:52:31 | 738 | 0 | 29.41 | 82
12:52:32 | 742 | 0 | 28.63 | 82
12:52:33 | 761 | 0 | 28.24 | 82
12:52:34 | 753 | 0 | 28.63 | 82
12:52:34 | 750 | 0 | 28.63 | 82
12:52:35 | 757 | 0 | 28.24 | 82
12:52:36 | 773 | 0 | 28.24 | 82
12:52:37 | 750 | 0 | 28.63 | 82
12:52:37 | 753 | 0 | 28.63 | 82
12:52:38 | 765 | 0 | 28.24 | 82
12:52:39 | 746 | 0 | 28.63 | 82
12:52:40 | 761 | 0 | 28.24 | 82
12:52:41 | 769 | 0 | 28.63 | 82
12:52:41 | 769 | 0 | 28.63 | 82
12:52:42 | 757 | 0 | 28.63 | 82
12:52:43 | 750 | 0 | 28.24 | 82
12:52:44 | 753 | 0 | 28.24 | 82
12:52:44 | 757 | 0 | 28.24 | 82
12:52:45 | 750 | 0 | 27.45 | 82
12:52:46 | 742 | 0 | 28.24 | 82
12:52:47 | 726 | 0 | 29.41 | 82
12:52:47 | 746 | 0 | 28.63 | 82
12:52:48 | 757 | 0 | 28.24 | 82
12:52:49 | 781 | 0 | 27.06 | 82
12:52:50 | 738 | 0 | 28.63 | 82
12:52:51 | 738 | 0 | 29.41 | 82
12:52:51 | 757 | 0 | 28.63 | 82
12:52:52 | 761 | 0 | 28.63 | 82
12:52:53 | 757 | 0 | 28.63 | 82
12:52:54 | 753 | 0 | 28.24 | 82
12:52:54 | 750 | 0 | 28.24 | 82
12:52:55 | 753 | 0 | 28.24 | 82
12:52:56 | 773 | 0 | 28.24 | 82
12:52:57 | 761 | 0 | 28.24 | 82
12:52:57 | 761 | 0 | 28.24 | 82
12:52:58 | 750 | 0 | 28.24 | 82
12:52:59 | 757 | 0 | 28.63 | 82
12:53:00 | 765 | 0 | 28.63 | 82
12:53:00 | 765 | 0 | 28.24 | 82
12:53:01 | 761 | 0 | 28.63 | 82
12:53:02 | 734 | 0 | 28.63 | 82
12:53:03 | 734 | 0 | 28.63 | 82
12:53:03 | 761 | 0 | 27.45 | 82
12:53:04 | 750 | 0 | 27.45 | 82
12:53:05 | 738 | 0 | 28.24 | 81
12:53:06 | 726 | 0 | 28.63 | 82
12:53:07 | 734 | 0 | 29.41 | 81
12:53:07 | 765 | 0 | 28.63 | 81
12:53:08 | 769 | 0 | 28.24 | 81
12:53:09 | 746 | 0 | 28.63 | 81
12:53:10 | 753 | 0 | 28.24 | 81
12:53:10 | 761 | 0 | 27.45 | 81
12:53:11 | 730 | 0 | 28.24 | 81
12:53:12 | 726 | 0 | 29.41 | 81
12:53:13 | 742 | 0 | 28.63 | 81
12:53:13 | 753 | 0 | 28.24 | 81
12:53:14 | 734 | 0 | 28.24 | 81
12:53:15 | 714 | 0 | 29.8 | 81
12:53:16 | 753 | 0 | 29.41 | 81
12:53:17 | 757 | 0 | 28.63 | 81
12:53:17 | 765 | 0 | 28.24 | 81
12:53:18 | 777 | 0 | 27.45 | 81
12:53:19 | 730 | 0 | 28.63 | 81
12:53:20 | 742 | 0 | 28.63 | 81
12:53:20 | 761 | 0 | 28.24 | 81
12:53:21 | 750 | 0 | 28.24 | 81
12:53:22 | 753 | 0 | 28.24 | 81
12:53:23 | 750 | 0 | 28.24 | 81
12:53:23 | 761 | 0 | 28.24 | 81
12:53:24 | 761 | 0 | 28.24 | 81
12:53:25 | 765 | 0 | 28.24 | 81
12:53:26 | 761 | 0 | 28.24 | 81
12:53:26 | 765 | 0 | 28.24 | 81
12:53:27 | 765 | 0 | 28.63 | 81
12:53:28 | 769 | 0 | 28.24 | 81
12:53:29 | 738 | 0 | 28.63 | 81
12:53:29 | 738 | 0 | 28.63 | 81
12:53:30 | 750 | 0 | 28.24 | 81
12:53:31 | 753 | 0 | 28.24 | 81
12:53:32 | 742 | 0 | 27.45 | 81
12:53:33 | 726 | 0 | 28.24 | 81
12:53:33 | 718 | 0 | 29.41 | 81
12:53:34 | 738 | 0 | 28.63 | 81
12:53:35 | 761 | 0 | 28.24 | 81
12:53:36 | 769 | 0 | 27.06 | 81
12:53:36 | 750 | 0 | 28.24 | 81
12:53:37 | 726 | 0 | 29.41 | 81
12:53:38 | 757 | 0 | 28.63 | 81
12:53:39 | 753 | 0 | 28.24 | 81
12:53:39 | 753 | 0 | 28.63 | 81
12:53:40 | 750 | 0 | 28.24 | 81
12:53:41 | 734 | 0 | 28.63 | 81
12:53:42 | 765 | 0 | 28.63 | 81
12:53:43 | 761 | 0 | 28.24 | 81
12:53:43 | 742 | 0 | 29.41 | 81
12:53:44 | 742 | 0 | 29.41 | 81
12:53:45 | 757 | 0 | 28.63 | 81
12:53:46 | 738 | 0 | 29.41 | 82
12:53:46 | 746 | 0 | 28.63 | 82
12:53:47 | 730 | 0 | 29.41 | 82
12:53:48 | 734 | 0 | 29.41 | 82
12:53:49 | 730 | 0 | 28.63 | 82
12:53:49 | 746 | 0 | 28.63 | 82
12:53:50 | 757 | 0 | 29.8 | 82
12:53:51 | 796 | 0 | 27.45 | 82
12:53:52 | 777 | 0 | 28.24 | 82
12:53:53 | 636 | 0 | 34.12 | 82
12:53:53 | 644 | 0 | 38.43 | 82
12:53:54 | 683 | 0 | 39.22 | 82
12:53:55 | 742 | 1 | 36.86 | 82
12:53:56 | 777 | 2 | 34.9 | 82
12:53:56 | 792 | 2 | 34.12 | 82
12:53:57 | 796 | 3 | 33.73 | 82
12:53:58 | 828 | 4 | 32.94 | 82
12:53:59 | 828 | 4 | 33.73 | 82
12:53:59 | 832 | 4 | 33.73 | 82
12:54:00 | 832 | 5 | 34.12 | 82
12:54:01 | 847 | 6 | 32.94 | 82
12:54:02 | 867 | 6 | 49.02 | 82
12:54:02 | 1144 | 6 | 42.75 | 82
12:54:03 | 1414 | 7 | 39.61 | 82
12:54:04 | 1656 | 9 | 39.22 | 82
12:54:05 | 1867 | 11 | 37.65 | 82
12:54:05 | 2039 | 12 | 39.61 | 82
12:54:06 | 2277 | 13 | 56.08 | 82
12:54:07 | 2714 | 14 | 55.29 | 82
12:54:08 | 2785 | 16 | 21.57 | 81
12:54:09 | 2105 | 19 | 40.0 | 81
12:54:09 | 1843 | 19 | 65.88 | 81
12:54:10 | 2042 | 21 | 61.57 | 81
12:54:11 | 2250 | 24 | 64.31 | 81
12:54:12 | 2480 | 26 | 61.96 | 81
12:54:12 | 2675 | 27 | 21.18 | 80
12:54:13 | 2152 | 29 | 22.35 | 80
12:54:14 | 1945 | 30 | 38.04 | 80
12:54:15 | 1941 | 30 | 52.16 | 80
12:54:15 | 2015 | 30 | 56.08 | 80
12:54:16 | 2101 | 30 | 60.39 | 80
12:54:17 | 2199 | 31 | 60.39 | 79
12:54:18 | 2292 | 33 | 60.39 | 79
12:54:19 | 2390 | 36 | 63.14 | 79
12:54:19 | 2503 | 37 | 60.39 | 79
12:54:20 | 2562 | 39 | 40.78 | 79
12:54:21 | 2578 | 39 | 48.24 | 79
12:54:22 | 2628 | 39 | 47.84 | 79
12:54:22 | 2660 | 41 | 46.27 | 78
12:54:23 | 2691 | 41 | 41.18 | 78
12:54:24 | 2687 | 41 | 32.94 | 78
12:54:25 | 2671 | 41 | 35.69 | 78
12:54:25 | 2667 | 41 | 32.94 | 78
12:54:26 | 2648 | 42 | 32.94 | 78
12:54:27 | 2632 | 41 | 32.16 | 78
12:54:28 | 2601 | 40 | 33.73 | 78
12:54:28 | 2585 | 40 | 34.12 | 78
12:54:29 | 2578 | 40 | 34.9 | 77
12:54:30 | 2570 | 40 | 34.9 | 77
12:54:31 | 2562 | 40 | 35.29 | 77
12:54:32 | 2550 | 39 | 35.29 | 77
12:54:32 | 2554 | 39 | 35.29 | 77
12:54:33 | 2539 | 39 | 37.65 | 77
12:54:34 | 2546 | 39 | 38.04 | 77
12:54:35 | 2542 | 40 | 38.04 | 77
12:54:35 | 2546 | 39 | 38.04 | 77
12:54:36 | 2539 | 39 | 38.04 | 77
12:54:37 | 2546 | 39 | 38.04 | 77
12:54:38 | 2546 | 39 | 38.04 | 77
12:54:38 | 2554 | 39 | 38.04 | 77
12:54:39 | 2554 | 39 | 38.04 | 77
12:54:40 | 2550 | 39 | 38.04 | 77
12:54:41 | 2554 | 40 | 38.04 | 77
12:54:42 | 2562 | 39 | 38.04 | 77
12:54:42 | 2554 | 39 | 38.04 | 77
12:54:43 | 2546 | 40 | 38.43 | 77
12:54:44 | 2554 | 39 | 38.43 | 77
12:54:45 | 2546 | 39 | 38.43 | 76
12:54:45 | 2558 | 39 | 39.22 | 76
12:54:46 | 2570 | 39 | 39.22 | 76
12:54:47 | 2570 | 40 | 39.22 | 76
12:54:48 | 2578 | 40 | 39.22 | 76
12:54:48 | 2578 | 39 | 39.22 | 76
12:54:49 | 2578 | 39 | 39.22 | 76
12:54:50 | 2593 | 40 | 38.43 | 76
12:54:51 | 2593 | 40 | 38.43 | 76
12:54:51 | 2589 | 40 | 38.43 | 76
12:54:52 | 2597 | 40 | 38.43 | 76
12:54:53 | 2589 | 40 | 38.43 | 76
12:54:54 | 2597 | 40 | 39.22 | 76
12:54:55 | 2593 | 40 | 46.67 | 76
12:54:55 | 2625 | 40 | 46.27 | 76
12:54:56 | 2644 | 40 | 45.49 | 76
12:54:57 | 2671 | 41 | 22.35 | 76
12:54:58 | 2160 | 41 | 23.92 | 76
12:54:58 | 1683 | 40 | 52.16 | 76
12:54:59 | 1707 | 40 | 57.65 | 76
12:55:00 | 1738 | 40 | 58.82 | 76
12:55:01 | 1765 | 41 | 58.04 | 76
12:55:01 | 1792 | 41 | 57.65 | 76
12:55:02 | 1820 | 41 | 60.39 | 76
12:55:03 | 1851 | 43 | 60.39 | 76
12:55:04 | 1886 | 44 | 59.22 | 76
12:55:05 | 1910 | 44 | 58.82 | 76
12:55:05 | 1945 | 45 | 58.04 | 76
12:55:06 | 1964 | 46 | 58.04 | 76
12:55:07 | 1984 | 46 | 57.65 | 76
12:55:08 | 2007 | 46 | 57.25 | 76
12:55:08 | 2035 | 47 | 56.08 | 76
12:55:09 | 2058 | 48 | 56.08 | 76
12:55:10 | 2078 | 48 | 55.29 | 76
12:55:11 | 2105 | 49 | 54.9 | 76
12:55:11 | 2113 | 50 | 54.9 | 76
12:55:12 | 2144 | 50 | 54.51 | 76
12:55:13 | 2156 | 50 | 54.51 | 76
12:55:14 | 2167 | 50 | 53.73 | 76
12:55:15 | 2187 | 51 | 53.73 | 76
12:55:15 | 2203 | 52 | 53.73 | 76
